PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_FAMILYNAME;REQUIREMENTS_ATTRIBUTES_FAMILYDESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTIONOBJECTIVE;REQUIREMENTS_ATTRIBUTES_APPLICABILITY;REQUIREMENTS_ATTRIBUTES_RECOMMENDATION;REQUIREMENTS_ATTRIBUTES_SECTIONTHREATMAPPINGS;REQUIREMENTS_ATTRIBUTES_SECTIONGUIDELINEMAPPINGS;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED
aws;Common Cloud Controls Catalog (CCC) for AWS;735291151388;ap-south-1;2026-07-11 14:19:13.485135;CCC.Core.CN05.AR04;When data is requested from outside the trust perimeter, the service MUST refuse requests from unauthorized entities.;Identity and Access Management;The Identity and Access Management control family ensures that only trusted and authenticated entities can access resources. These controls establish strong authentication, enforce multi-factor verification, and restrict access to approved sources to prevent unauthorized use or data exfiltration.;CCC.Core.CN05 Prevent Access from Untrusted Entities;;Ensure that secure access controls enforce the principle of least privilege to restrict access to authorized entities from explicitly trusted sources only.;['tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Core.TH01']}];[{'ReferenceId': 'CCM', 'Identifiers': ['DSP-01', 'DSP-07', 'DSP-08', 'DSP-10', 'DSP-17']}];FAIL;IAM Access Analyzer in account 735291151388 is not enabled.;arn:aws:accessanalyzer:ap-south-1:735291151388:analyzer/unknown;analyzer/unknown;accessanalyzer_enabled;False
aws;Common Cloud Controls Catalog (CCC) for AWS;735291151388;ap-south-1;2026-07-11 14:19:13.485135;CCC.IAM.CN11.AR01;When a cloud account or organization is provisioned, the native automated access and usage analysis services MUST be enabled to continuously monitor for external or public access to resources, and unused access.;Logging and Monitoring;Controls that collect, alert, and retain IAM-related events.;CCC.IAM.CN11 Enable Continuous IAM Access and Usage Analysis;;Enable and configure the cloud provider's native access and usage analysis services to continuously monitor for external access paths and internal unused access.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.IAM.TH02', 'CCC.IAM.TH10', 'CCC.IAM.TH11']}];[{'ReferenceId': 'NIST-CSF', 'Identifiers': ['ID.RA-01', 'ID.IM-01']}, {'ReferenceId': 'NIST_800_53', 'Identifiers': ['AC-2', 'CA-7', 'RA-5']}];FAIL;IAM Access Analyzer in account 735291151388 is not enabled.;arn:aws:accessanalyzer:ap-south-1:735291151388:analyzer/unknown;analyzer/unknown;accessanalyzer_enabled;False
aws;Common Cloud Controls Catalog (CCC) for AWS;735291151388;ap-south-1;2026-07-11 14:19:13.485135;CCC.Core.CN08.AR01;When data is created or modified, the data MUST have a complete and recoverable duplicate that is stored in a physically separate data center.;Data;The Data control family ensures the confidentiality, integrity, availability, and sovereignty of data across its lifecycle. These controls govern how data is transmitted, stored, replicated, and protected from unauthorized access, tampering, or exposure beyond defined trust perimeters.;CCC.Core.CN08 Replicate Data to Multiple Locations;;Ensure that data is replicated across multiple physical locations to protect against data loss due to hardware failures, natural disasters, or other catastrophic events.;['tlp-green', 'tlp-amber', 'tlp-red'];Implement automated data replication processes to ensure that data is consistently duplicated in another region or availability zone. Regularly test data recovery from the replicated location to ensure integrity and availability.;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Core.TH06']}];[{'ReferenceId': 'CCM', 'Identifiers': ['BCR-08', 'BCR-10', 'BCR-11']}];FAIL;No Backup Vault exist.;arn:aws:backup:ap-south-1:735291151388:backup-vault;735291151388;backup_vaults_exist;False
aws;Common Cloud Controls Catalog (CCC) for AWS;735291151388;ap-south-1;2026-07-11 14:19:13.485135;CCC.Core.CN14.AR01;When backups are created for disaster recovery purposes, the storage mechanism MUST NOT allow modification or deletion within 30 days of creation.;Data;The Data control family ensures the confidentiality, integrity, availability, and sovereignty of data across its lifecycle. These controls govern how data is transmitted, stored, replicated, and protected from unauthorized access, tampering, or exposure beyond defined trust perimeters.;CCC.Core.CN14 Maintain Recent Backups;;Ensure that all backups used for disaster recovery are recent and subject to a retention policy that limits deletion.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];Use immutable storage solutions where possible. Implement backup retention policies that enforce a minimum retention period of 30 days.;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Core.TH06']}];[];FAIL;No Backup Vault exist.;arn:aws:backup:ap-south-1:735291151388:backup-vault;735291151388;backup_vaults_exist;False
aws;Common Cloud Controls Catalog (CCC) for AWS;735291151388;ap-south-1;2026-07-11 14:19:13.485135;CCC.Core.CN14.AR02;When backups are created for disaster recovery purposes, the most recent backup MUST have a creation date within the past 30 days.;Data;The Data control family ensures the confidentiality, integrity, availability, and sovereignty of data across its lifecycle. These controls govern how data is transmitted, stored, replicated, and protected from unauthorized access, tampering, or exposure beyond defined trust perimeters.;CCC.Core.CN14 Maintain Recent Backups;;Ensure that all backups used for disaster recovery are recent and subject to a retention policy that limits deletion.;['tlp-clear', 'tlp-green', 'tlp-amber'];Implement automated backup processes to ensure that backups are created regularly. Monitor backup schedules and verify that the most recent backup creation date is within the last 30 days.;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Core.TH06']}];[];FAIL;No Backup Vault exist.;arn:aws:backup:ap-south-1:735291151388:backup-vault;735291151388;backup_vaults_exist;False
aws;Common Cloud Controls Catalog (CCC) for AWS;735291151388;ap-south-1;2026-07-11 14:19:13.485135;CCC.Core.CN14.AR03;When backups are created for disaster recovery purposes, the most recent backup MUST have a creation date within the past 14 days.;Data;The Data control family ensures the confidentiality, integrity, availability, and sovereignty of data across its lifecycle. These controls govern how data is transmitted, stored, replicated, and protected from unauthorized access, tampering, or exposure beyond defined trust perimeters.;CCC.Core.CN14 Maintain Recent Backups;;Ensure that all backups used for disaster recovery are recent and subject to a retention policy that limits deletion.;['tlp-red'];Implement automated backup processes to ensure that backups are created regularly. Monitor backup schedules and verify that the most recent backup creation date is within the last 14 days.;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Core.TH06']}];[];FAIL;No Backup Vault exist.;arn:aws:backup:ap-south-1:735291151388:backup-vault;735291151388;backup_vaults_exist;False
aws;Common Cloud Controls Catalog (CCC) for AWS;735291151388;ap-south-1;2026-07-11 14:19:13.485135;CCC.GenAI.CN05.AR01;When a RAG-enabled system generates a response containing information retrieved from its knowledge base, then the response MUST include a verifiable citation that links back to the specific source document.;Data;The Data control family ensures the confidentiality, integrity, availability, and sovereignty of data across its lifecycle. These controls govern how data is transmitted, stored, replicated, and protected from unauthorized access, tampering, or exposure beyond defined trust perimeters.;CCC.GenAI.CN05 Citations and Source Traceability;;Require the GenAI system to provide citations or direct links back to the source documents used to generate a response, in to enhance the transparency, trustworthiness, and verifiability of AI-generated content.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.GenAI.TH09', 'CCC.GenAI.TH04']}];[{'ReferenceId': 'FINOS-AIGF', 'Identifiers': ['AIR-DET-013']}];FAIL;Bedrock Model Invocation Logging is disabled.;arn:aws:bedrock:ap-south-1:735291151388:model-invocation-logging;model-invocation-logging;bedrock_model_invocation_logging_enabled;False
aws;Common Cloud Controls Catalog (CCC) for AWS;735291151388;ap-south-1;2026-07-11 14:19:13.485135;CCC.AuditLog.CN02.AR01;When a manual action is performed to generate each audit log type, then the corresponding audit log type MUST be generated and recorded.;Integrity;Controls designed to protected the integrity of Audit Log data.;CCC.AuditLog.CN02 Enable And Validate All Audit Log Types;;Review audit log configuration and ensure that all audit log types are being generated and replicated to configured sinks;['tlp-red', 'tlp-amber'];Review audit log configuration;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Core.TH06']}];[{'ReferenceId': 'NIST-CSF', 'Identifiers': ['PR.PS-04']}, {'ReferenceId': 'NIST_800_53', 'Identifiers': ['AU-2', 'AU-3', 'AU-12']}];PASS;Trail cloudguardian-trail from home region ap-south-1 has management events enabled to log Amazon Bedrock control-plane API calls.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudguardian-trail;cloudtrail_bedrock_logging_enabled;False
aws;Common Cloud Controls Catalog (CCC) for AWS;735291151388;ap-south-1;2026-07-11 14:19:13.485135;CCC.Core.CN09.AR01;When the service is operational, its logs and any child resource logs MUST NOT be accessible from the resource they record access to.;Data;The Data control family ensures the confidentiality, integrity, availability, and sovereignty of data across its lifecycle. These controls govern how data is transmitted, stored, replicated, and protected from unauthorized access, tampering, or exposure beyond defined trust perimeters.;CCC.Core.CN09 Ensure Integrity of Access Logs;;Ensure that access logs are always recorded to an external location that cannot be manipulated from the context of the service(s) it contains logs for.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Core.TH07', 'CCC.Core.TH09', 'CCC.Core.TH04']}];[{'ReferenceId': 'CCM', 'Identifiers': ['LOG-02', 'LOG-04', 'LOG-09']}];FAIL;Trail cloudguardian-trail bucket (cloudguardian-data-c8f4e2a3) does not have MFA delete enabled.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudguardian-trail;cloudtrail_bucket_requires_mfa_delete;False
aws;Common Cloud Controls Catalog (CCC) for AWS;735291151388;ap-south-1;2026-07-11 14:19:13.485135;CCC.AuditLog.CN07.AR01;When a standard file deletion is attempted on an object within the audit log bucket, then it MUST be prevented unless MFA is provided.;Availability;Controls designed to protected the availability of Audit Log data.;CCC.AuditLog.CN07 Enforce MFA Delete on Audit Log Bucket;;Enable Multi-Factor Authentication (MFA) delete on the audit log bucket to provide greater protection against accidental or malicious deletion of audit data.;['tlp-red', 'tlp-amber', 'tlp-green'];Enable MFA Delete (or equivalent multi-factor authentication for delete operations) on the audit log bucket.;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Core.TH06', 'CCC.Core.TH07']}];[{'ReferenceId': 'NIST-CSF', 'Identifiers': ['PR.PS-04']}, {'ReferenceId': 'NIST_800_53', 'Identifiers': ['AU-9', 'AU-11']}];FAIL;Trail cloudguardian-trail bucket (cloudguardian-data-c8f4e2a3) does not have MFA delete enabled.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudguardian-trail;cloudtrail_bucket_requires_mfa_delete;False
