PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;3.2;If sensitive authentication data is received, render all data unrecoverable upon completion of the authorization process. It is permissible for issuers and companies that support issuing services to store sensitive authentication data if there is a business justification and the data is stored securely. Sensitive authentication data includes the data as cited in the following Requirements 3.2.1 through 3.2.3. Sensitive authentication data consists of full track data, card validation code or value, and PIN data. Storage of sensitive authentication data after authorization is prohibited! This data is very valuable to malicious individuals as it allows them to generate counterfeit payment cards and create fraudulent transactions. Entities that issue payment cards or that perform or support issuing services will often create and control sensitive authentication data as part of the issuing function. It is allowable for companies that perform, facilitate, or support issuing services to store sensitive authentication data ONLY IF they have a legitimate business need to store such data. It should be noted that all PCI DSS requirements apply to issuers, and the only exception for issuers and issuer processors is that sensitive authentication data may be retained if there is a legitimate reason to do so. A legitimate reason is one that is necessary for the performance of the function being provided for the issuer and not one of convenience. Any such data must be stored securely and in accordance with all PCI DSS and specific payment brand requirements.;Requirement 3: Protect stored cardholder data;Requirement 3: Protect stored cardholder data;;;;FAIL;Single region trail cloudguardian-trail has not been logging in the last 24h or is not configured to deliver logs.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_cloudwatch_logging_enabled;False;cloudguardian-trail;PCI;Payment Card Industry Data Security Standard (PCI DSS) v3.2.1;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;3.2.3;These values should be known only to the card owner or bank that issued the card. If this data is stolen, malicious individuals can execute fraudulent PIN-based debit transactions (for example, ATM withdrawals). For a sample of system components, examine data sources, including but not limited to the following and verify that PINs and encrypted PIN blocks are not stored after authorization: incoming transaction data, all logs (for example, transaction, history, debugging, error), history files, trace files, several database schemas, database contents;Requirement 3: Protect stored cardholder data;3.2 Do not store sensitive authentication data after authorization (even if encrypted);;;;FAIL;Single region trail cloudguardian-trail has not been logging in the last 24h or is not configured to deliver logs.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_cloudwatch_logging_enabled;False;cloudguardian-trail;PCI;Payment Card Industry Data Security Standard (PCI DSS) v3.2.1;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;3.4;The following approaches should be used to render PAN unreadable anywhere it is stored: One-way hashes based on strong cryptography, (hash must be of the entire PAN), truncation (hashing cannot be used to replace the truncated segment of PAN), index tokens and pads (pads must be securely stored) and strong cryptography with associated key-management processes and procedures. Note: It is a relatively trivial effort for a malicious individual to reconstruct original PAN data if they have access to both the truncated and hashed version of a PAN. Where hashed and truncated versions of the same PAN are present in an entity's environment, additional controls must be in place to ensure that the hashed and truncated versions cannot be correlated to reconstruct the original PAN. PANs stored in primary storage (databases, or flat files such as text files spreadsheets) as well as non-primary storage (backup, audit logs, exception or troubleshooting logs) must all be protected. One-way hash functions based on strong cryptography can be used to render cardholder data unreadable. Hash functions are appropriate when there is no need to retrieve the original number (one-way hashes are irreversible). It is recommended, but not currently a requirement, that an additional, random input value be added to the cardholder data prior to hashing to reduce the feasibility of an attacker comparing the data against (and deriving the PAN from) tables of pre- computed hash values. The intent of truncation is to permanently remove a segment of PAN data so that only a portion (generally not to exceed the first six and last four digits) of the PAN is stored. An index token is a cryptographic token that replaces the PAN based on a given index for an unpredictable value. A one-time pad is a system in which a randomly generated private key is used only once to encrypt a message that is then decrypted using a matching one-time pad and key. The intent of strong cryptography (as defined in the PCI DSS and PA-DSS Glossary of Terms, Abbreviations, and Acronyms) is that the encryption be based on an industry-tested and accepted algorithm (not a proprietary or `home- grown` algorithm) with strong cryptographic keys. By correlating hashed and truncated versions of a given PAN, a malicious individual may easily derive the original PAN value. Controls that prevent the correlation of this data will help ensure that the original PAN remains unreadable.;Requirement 3: Protect stored cardholder data;Requirement 3: Protect stored cardholder data;;;;FAIL;Single region trail cloudguardian-trail has not been logging in the last 24h or is not configured to deliver logs.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_cloudwatch_logging_enabled;False;cloudguardian-trail;PCI;Payment Card Industry Data Security Standard (PCI DSS) v3.2.1;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;3.4.d;PANs stored in primary storage (databases, or flat files such as text files spreadsheets) as well as non-primary storage (backup, audit logs, exception or troubleshooting logs) must all be protected. One-way hash functions based on strong cryptography can be used to render cardholder data unreadable. Hash functions are appropriate when there is no need to retrieve the original number (one-way hashes are irreversible). It is recommended, but not currently a requirement, that an additional, random input value be added to the cardholder data prior to hashing to reduce the feasibility of an attacker comparing the data against (and deriving the PAN from) tables of pre- computed hash values. The intent of truncation is to permanently remove a segment of PAN data so that only a portion (generally not to exceed the first six and last four digits) of the PAN is stored. An index token is a cryptographic token that replaces the PAN based on a given index for an unpredictable value. A one-time pad is a system in which a randomly generated private key is used only once to encrypt a message that is then decrypted using a matching one-time pad and key. The intent of strong cryptography (as defined in the PCI DSS and PA-DSS Glossary of Terms, Abbreviations, and Acronyms) is that the encryption be based on an industry-tested and accepted algorithm (not a proprietary or 'home-grown` algorithm) with strong cryptographic keys. By correlating hashed and truncated versions of a given PAN, a malicious individual may easily derive the original PAN value. Controls that prevent the correlation of this data will help ensure that the original PAN remains unreadable.;Requirement 3: Protect stored cardholder data;3.4 Render PAN unreadable anywhere it is stored (including on portable digital media, backup media, and in logs) by using approaches like one-way hashes based on strong cryptography, truncation etc;;;;FAIL;Single region trail cloudguardian-trail has not been logging in the last 24h or is not configured to deliver logs.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_cloudwatch_logging_enabled;False;cloudguardian-trail;PCI;Payment Card Industry Data Security Standard (PCI DSS) v3.2.1;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;10.1;It is critical to have a process or system that links user access to system components accessed. This system generates audit logs and provides the ability to trace back suspicious activity to a specific user. This control verifies, through observation and interviewing the system administrator, that: audit trails are enabled and active for system components, access to system components is linked to individual users.;Requirement 10: Track and monitor all access to network resources and cardholder data;Requirement 10: Track and monitor all access to network resources and cardholder data;;;;FAIL;Single region trail cloudguardian-trail has not been logging in the last 24h or is not configured to deliver logs.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_cloudwatch_logging_enabled;False;cloudguardian-trail;PCI;Payment Card Industry Data Security Standard (PCI DSS) v3.2.1;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;10.2;It is critical to have a process or system that links user access to system components accessed. This system generates audit logs and provides the ability to trace back suspicious activity to a specific user. This control verifies, through observation and interviewing the system administrator, that: audit trails are enabled and active for system components, access to system components is linked to individual users.;Requirement 10: Track and monitor all access to network resources and cardholder data;Requirement 10: Track and monitor all access to network resources and cardholder data;;;;FAIL;Single region trail cloudguardian-trail has not been logging in the last 24h or is not configured to deliver logs.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_cloudwatch_logging_enabled;False;cloudguardian-trail;PCI;Payment Card Industry Data Security Standard (PCI DSS) v3.2.1;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;10.2.1;Malicious individuals could obtain knowledge of a user account with access to systems in the CDE, or they could create a new, unauthorized account in order to access cardholder data. A record of all individual accesses to cardholder data can identify which accounts may have been compromised or misused. This control verifies all individual access to cardholder data is loggedVerify all individual access to cardholder data is logged.;Requirement 10: Track and monitor all access to network resources and cardholder data;10.2 Through interviews of responsible personnel, observation of audit logs, and examination of audit log settings;;;;FAIL;Single region trail cloudguardian-trail has not been logging in the last 24h or is not configured to deliver logs.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_cloudwatch_logging_enabled;False;cloudguardian-trail;PCI;Payment Card Industry Data Security Standard (PCI DSS) v3.2.1;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;10.2.2;Accounts with increased privileges, such as the “administrator” or “root” account, have the potential to greatly impact the security or operational functionality of a system. Without a log of the activities performed, an organization is unable to trace any issues resulting from an administrative mistake or misuse of privilege back to the specific action and individual. This control verifies all actions taken by any individual with root or administrative privileges are logged.;Requirement 10: Track and monitor all access to network resources and cardholder data;10.2 Through interviews of responsible personnel, observation of audit logs, and examination of audit log settings;;;;FAIL;Single region trail cloudguardian-trail has not been logging in the last 24h or is not configured to deliver logs.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_cloudwatch_logging_enabled;False;cloudguardian-trail;PCI;Payment Card Industry Data Security Standard (PCI DSS) v3.2.1;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;10.2.3;Malicious users often attempt to alter audit logs to hide their actions, and a record of access allows an organization to trace any inconsistencies or potential tampering of the logs to an individual account. Having access to logs identifying changes, additions, and deletions can help retrace steps made by unauthorized personnel. This control verifies access to all audit trails is logged.;Requirement 10: Track and monitor all access to network resources and cardholder data;10.2 Through interviews of responsible personnel, observation of audit logs, and examination of audit log settings;;;;FAIL;Single region trail cloudguardian-trail has not been logging in the last 24h or is not configured to deliver logs.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_cloudwatch_logging_enabled;False;cloudguardian-trail;PCI;Payment Card Industry Data Security Standard (PCI DSS) v3.2.1;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;10.2.4;Malicious users often attempt to alter audit logs to hide their actions, and a record of access allows an organization to trace any inconsistencies or potential tampering of the logs to an individual account. Having access to logs identifying changes, additions, and deletions can help retrace steps made by unauthorized personnel. This control verifies access to all audit trails is logged.;Requirement 10: Track and monitor all access to network resources and cardholder data;10.2 Through interviews of responsible personnel, observation of audit logs, and examination of audit log settings;;;;FAIL;Single region trail cloudguardian-trail has not been logging in the last 24h or is not configured to deliver logs.;arn:aws:cloudtrail:ap-south-1:735291151388:trail/cloudguardian-trail;cloudtrail_cloudwatch_logging_enabled;False;cloudguardian-trail;PCI;Payment Card Industry Data Security Standard (PCI DSS) v3.2.1;
