PROVIDER;DESCRIPTION;SUBSCRIPTIONID;LOCATION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_TYPE;REQUIREMENTS_ATTRIBUTES_ABOUTCRITERIA;REQUIREMENTS_ATTRIBUTES_COMPLEMENTARYCRITERIA;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED;FRAMEWORK;NAME
azure;This Directive lays down measures that aim to achieve a high common level of cybersecurity across the Union, with a view to improving the functioning of the internal market.;524e42fc-65bd-4b6c-b65d-da2abce9b1d9;global;2026-06-30 12:59:48.948909;OPS-04.01B;"Policies and instructions with specifications for protection against malware are documented, communicated, and provided in accordance with SP-01 with respect to the following aspects: - Use of system-specific protection mechanisms;- Operating protection programmes on system components under the responsibility of the cloud service provider that are used to provide the cloud service in the production environment;- Operation of protection programmes for employees' terminal equipment; and- Operation of protection programmes on all the incoming flows, including those over cloud service provider end-devices.";Operations (OPS);OPS-04 Protection Against Malware - Concept;Basic;Protection programmes for employee devices can be, for example, server-based protection programmes that scan files in attachments on the server or filter network traffic.;;FAIL;No IoT Security Solutions found in the subscription Azure subscription 1 (524e42fc-65bd-4b6c-b65d-da2abce9b1d9).;/subscriptions/524e42fc-65bd-4b6c-b65d-da2abce9b1d9;524e42fc-65bd-4b6c-b65d-da2abce9b1d9;defender_ensure_iot_hub_defender_is_on;False;C5;Cloud Computing Compliance Criteria Catalogue C5
azure;This Directive lays down measures that aim to achieve a high common level of cybersecurity across the Union, with a view to improving the functioning of the internal market.;524e42fc-65bd-4b6c-b65d-da2abce9b1d9;global;2026-06-30 12:59:48.948909;OPS-04.01B;"Policies and instructions with specifications for protection against malware are documented, communicated, and provided in accordance with SP-01 with respect to the following aspects: - Use of system-specific protection mechanisms;- Operating protection programmes on system components under the responsibility of the cloud service provider that are used to provide the cloud service in the production environment;- Operation of protection programmes for employees' terminal equipment; and- Operation of protection programmes on all the incoming flows, including those over cloud service provider end-devices.";Operations (OPS);OPS-04 Protection Against Malware - Concept;Basic;Protection programmes for employee devices can be, for example, server-based protection programmes that scan files in attachments on the server or filter network traffic.;;FAIL;Microsoft Defender for Cloud Apps not exists for subscription Azure subscription 1 (524e42fc-65bd-4b6c-b65d-da2abce9b1d9).;/subscriptions/524e42fc-65bd-4b6c-b65d-da2abce9b1d9;524e42fc-65bd-4b6c-b65d-da2abce9b1d9;defender_ensure_mcas_is_enabled;False;C5;Cloud Computing Compliance Criteria Catalogue C5
azure;This Directive lays down measures that aim to achieve a high common level of cybersecurity across the Union, with a view to improving the functioning of the internal market.;524e42fc-65bd-4b6c-b65d-da2abce9b1d9;global;2026-06-30 12:59:48.948909;OPS-05.01B;System components under the cloud service provider's responsibility that are used to operate the cloud service in the production environment are configured with malware protection according to the policies and instructions.;Operations (OPS);OPS-05 Protection Against Malware - Implementation;Basic;Protection against malicious programmes can be implemented by operating system-specific protection mechanisms or explicit protection programmes (e.g. for signature- and behaviour-based detection and removal of malicious programmes). If the cloud provider operates malware protected containers or virtual machines to provide the cloud service, the malware protection should include container-specific measures. This can include, for example, monitoring the container images and the container runtime, and due to the frequent start and stop of the containers, real-time scans and -monitoring processes.;Cloud service customers ensure through suitable controls that the layers of the cloud service which they are responsible for have security products in place to detect and remove malware.;FAIL;Microsoft Defender for Cloud Apps not exists for subscription Azure subscription 1 (524e42fc-65bd-4b6c-b65d-da2abce9b1d9).;/subscriptions/524e42fc-65bd-4b6c-b65d-da2abce9b1d9;524e42fc-65bd-4b6c-b65d-da2abce9b1d9;defender_ensure_mcas_is_enabled;False;C5;Cloud Computing Compliance Criteria Catalogue C5
azure;This Directive lays down measures that aim to achieve a high common level of cybersecurity across the Union, with a view to improving the functioning of the internal market.;524e42fc-65bd-4b6c-b65d-da2abce9b1d9;global;2026-06-30 12:59:48.948909;OPS-04.01B;"Policies and instructions with specifications for protection against malware are documented, communicated, and provided in accordance with SP-01 with respect to the following aspects: - Use of system-specific protection mechanisms;- Operating protection programmes on system components under the responsibility of the cloud service provider that are used to provide the cloud service in the production environment;- Operation of protection programmes for employees' terminal equipment; and- Operation of protection programmes on all the incoming flows, including those over cloud service provider end-devices.";Operations (OPS);OPS-04 Protection Against Malware - Concept;Basic;Protection programmes for employee devices can be, for example, server-based protection programmes that scan files in attachments on the server or filter network traffic.;;FAIL;Microsoft Defender for Endpoint integration not exists for subscription Azure subscription 1 (524e42fc-65bd-4b6c-b65d-da2abce9b1d9).;/subscriptions/524e42fc-65bd-4b6c-b65d-da2abce9b1d9;524e42fc-65bd-4b6c-b65d-da2abce9b1d9;defender_ensure_wdatp_is_enabled;False;C5;Cloud Computing Compliance Criteria Catalogue C5
azure;This Directive lays down measures that aim to achieve a high common level of cybersecurity across the Union, with a view to improving the functioning of the internal market.;524e42fc-65bd-4b6c-b65d-da2abce9b1d9;global;2026-06-30 12:59:48.948909;OPS-23.01B;The cloud service provider regularly measures, analyses and assesses the procedures with which vulnerabilities and incidents are handled to verify their continued suitability, appropriateness and effectiveness.;Operations (OPS);OPS-23 Managing Vulnerabilities, Malfunctions and Errors - Measurements, Analyses and Assessments of Procedures;Basic;"The assessment of the suitability, appropriateness and effectiveness of procedures for managing vulnerabilities and incidents may be based on the following information: 1. Regular reporting of KPIs that are volume, time-based or resolution/quality-based, e.g.a. for vulnerabilities:- Mean Time to Detect (MTTD, average time it takes to discover a vulnerability from its disclosure or creation);- Mean Time to Remediate (MTTR, average time it takes to fix or patch a vulnerability after it has been detected);- Number of open vulnerabilities at each severity level; and- Percentage of vulnerabilities that have been patched within a set period.b. for incidents:- Number of incidents reported over a set period and how this evolved over the time;- Average response and resolution time;- Percentage of incidents resolved within the agreed-upon service level agreement; and- Percentage of incidents resolved during the first attempt for resolution.2. Customer complaints or the results of customer surveys about their satisfaction with the procedures; and3. Results of internal or external audits.";;FAIL;Microsoft Defender for Endpoint integration not exists for subscription Azure subscription 1 (524e42fc-65bd-4b6c-b65d-da2abce9b1d9).;/subscriptions/524e42fc-65bd-4b6c-b65d-da2abce9b1d9;524e42fc-65bd-4b6c-b65d-da2abce9b1d9;defender_ensure_wdatp_is_enabled;False;C5;Cloud Computing Compliance Criteria Catalogue C5
azure;This Directive lays down measures that aim to achieve a high common level of cybersecurity across the Union, with a view to improving the functioning of the internal market.;010fdff4-2484-41a0-be8b-fccd3e3af6da;global;2026-06-30 12:59:48.948909;OIS-02.01B;Top management of the cloud service provider has adopted an information security policy.;Organisation of Information Security (OIS);OIS-02 Information Security Policy;Basic;The top management is a natural person or group of persons who make the final decision for the institution and is responsible for that decision.;;FAIL;Conditional Access Policy does not require MFA for management API.;Conditional Access Policy;Conditional Access Policy;entra_conditional_access_policy_require_mfa_for_management_api;False;C5;Cloud Computing Compliance Criteria Catalogue C5
azure;This Directive lays down measures that aim to achieve a high common level of cybersecurity across the Union, with a view to improving the functioning of the internal market.;010fdff4-2484-41a0-be8b-fccd3e3af6da;global;2026-06-30 12:59:48.948909;OIS-02.02B;Top management of the cloud service provider has communicated the information security policy to internal and external employees as well as cloud service customers.;Organisation of Information Security (OIS);OIS-02 Information Security Policy;Basic;The top management is a natural person or group of persons who make the final decision for the institution and is responsible for that decision.;;FAIL;Conditional Access Policy does not require MFA for management API.;Conditional Access Policy;Conditional Access Policy;entra_conditional_access_policy_require_mfa_for_management_api;False;C5;Cloud Computing Compliance Criteria Catalogue C5
azure;This Directive lays down measures that aim to achieve a high common level of cybersecurity across the Union, with a view to improving the functioning of the internal market.;010fdff4-2484-41a0-be8b-fccd3e3af6da;global;2026-06-30 12:59:48.948909;OIS-04.01AC;The cloud service provider monitors and enforces measures related to segregation of duties to resolve conflicting roles.;Organisation of Information Security (OIS);OIS-04 Segregation of Duties;Additional (Complementing);;;FAIL;Conditional Access Policy does not require MFA for management API.;Conditional Access Policy;Conditional Access Policy;entra_conditional_access_policy_require_mfa_for_management_api;False;C5;Cloud Computing Compliance Criteria Catalogue C5
azure;This Directive lays down measures that aim to achieve a high common level of cybersecurity across the Union, with a view to improving the functioning of the internal market.;010fdff4-2484-41a0-be8b-fccd3e3af6da;global;2026-06-30 12:59:48.948909;SP-01.04B;The policies and instructions are approved by the top management of the cloud service provider or an authorised body.;Security Policies and Instructions (SP);SP-01 Documentation, Communication and Provision of Policies and Instructions;Basic;;;FAIL;Conditional Access Policy does not require MFA for management API.;Conditional Access Policy;Conditional Access Policy;entra_conditional_access_policy_require_mfa_for_management_api;False;C5;Cloud Computing Compliance Criteria Catalogue C5
azure;This Directive lays down measures that aim to achieve a high common level of cybersecurity across the Union, with a view to improving the functioning of the internal market.;010fdff4-2484-41a0-be8b-fccd3e3af6da;global;2026-06-30 12:59:48.948909;PS-03.02B;The security measures are designed to detect and prevent unauthorised access so that the information security of the cloud service is not compromised.;Physical Security (PS);PS-03 Perimeter Protection;Basic;Security measures for detecting unauthorised access can be security personnel, video surveillance or burglar alarm systems.;;FAIL;Conditional Access Policy does not require MFA for management API.;Conditional Access Policy;Conditional Access Policy;entra_conditional_access_policy_require_mfa_for_management_api;False;C5;Cloud Computing Compliance Criteria Catalogue C5
azure;This Directive lays down measures that aim to achieve a high common level of cybersecurity across the Union, with a view to improving the functioning of the internal market.;010fdff4-2484-41a0-be8b-fccd3e3af6da;global;2026-06-30 12:59:48.948909;OPS-16.01B;Access to system components for logging and monitoring in the cloud service provider's area of responsibility is restricted to authorised users and requires authentication with two or more factors.;Operations (OPS);OPS-16 Logging and Monitoring - Configuration;Basic;;;FAIL;Conditional Access Policy does not require MFA for management API.;Conditional Access Policy;Conditional Access Policy;entra_conditional_access_policy_require_mfa_for_management_api;False;C5;Cloud Computing Compliance Criteria Catalogue C5
azure;This Directive lays down measures that aim to achieve a high common level of cybersecurity across the Union, with a view to improving the functioning of the internal market.;010fdff4-2484-41a0-be8b-fccd3e3af6da;global;2026-06-30 12:59:48.948909;IAM-01.01B;"The cloud service provider documents, communicates and makes available according to SP-01: - A role, rights and authorities concept based on role-based access control and the business and security requirements of the cloud service provider; and- A policy for managing user accounts and access rights for internal and external employees of the cloud service provider and system components that have a role in automated authorisation processes of the cloud service provider.";Identity and Access Management (IAM);IAM-01 Policy for User Accounts and Access Rights;Basic;External employees include freelancers, temporary workers, suppliers and service providers with access to system components.;;FAIL;Conditional Access Policy does not require MFA for management API.;Conditional Access Policy;Conditional Access Policy;entra_conditional_access_policy_require_mfa_for_management_api;False;C5;Cloud Computing Compliance Criteria Catalogue C5
