PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_NAME;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_CATEGORY;REQUIREMENTS_ATTRIBUTES_OBJETIVE_ID;REQUIREMENTS_ATTRIBUTES_OBJETIVE_NAME;REQUIREMENTS_ATTRIBUTES_CHECK_SUMMARY;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;735291151388;ap-south-1;2026-07-13 17:35:21.078358;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;A.8 Technological controls;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;FAIL;IAM Access Analyzer in account 735291151388 is not enabled.;arn:aws:accessanalyzer:ap-south-1:735291151388:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;735291151388;ap-south-1;2026-07-13 17:35:21.078358;A.5.5;Contact With Authorities;The organisation should establish and maintain contact with relevant authorities.;A.5 Organizational controls;A.5.5;Contact With Authorities;The organisation should establish and maintain contact with relevant authorities.;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::735291151388:root;account_maintain_current_contact_details;False;735291151388;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;735291151388;ap-south-1;2026-07-13 17:35:21.078358;A.5.6;Contact With Special Interest Groups;The organisation should establish and maintain contact with special interest groups or other specialist security forums and professional associations.;A.5 Organizational controls;A.5.6;Contact With Special Interest Groups;The organisation should establish and maintain contact with special interest groups or other specialist security forums and professional associations.;FAIL;SECURITY, BILLING and OPERATIONS contacts not found or they are not different between each other and between ROOT contact.;arn:aws:iam::735291151388:root;account_maintain_different_contact_details_to_security_billing_and_operations;False;735291151388;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;735291151388;ap-south-1;2026-07-13 17:35:21.078358;A.5.5;Contact With Authorities;The organisation should establish and maintain contact with relevant authorities.;A.5 Organizational controls;A.5.5;Contact With Authorities;The organisation should establish and maintain contact with relevant authorities.;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::735291151388:root;account_security_contact_information_is_registered;False;735291151388;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;735291151388;ap-south-1;2026-07-13 17:35:21.078358;A.8.20;Network Security;Networks and network devices should be secured, managed and controlled to protect information in systems and applications.;A.8 Technological controls;A.8.20;Network Security;Networks and network devices should be secured, managed and controlled to protect information in systems and applications.;FAIL;Lambda function cloudguardian-remediate-s3-public-access is not inside a VPC;arn:aws:lambda:ap-south-1:735291151388:function:cloudguardian-remediate-s3-public-access;awslambda_function_inside_vpc;False;cloudguardian-remediate-s3-public-access;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;735291151388;ap-south-1;2026-07-13 17:35:21.078358;A.8.21;Security of Network Services;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;A.8 Technological controls;A.8.21;Security of Network Services;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;FAIL;Lambda function cloudguardian-remediate-s3-public-access is not inside a VPC;arn:aws:lambda:ap-south-1:735291151388:function:cloudguardian-remediate-s3-public-access;awslambda_function_inside_vpc;False;cloudguardian-remediate-s3-public-access;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;735291151388;ap-south-1;2026-07-13 17:35:21.078358;A.8.22;Segregation of Networks;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;A.8 Technological controls;A.8.22;Segregation of Networks;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;FAIL;Lambda function cloudguardian-remediate-s3-public-access is not inside a VPC;arn:aws:lambda:ap-south-1:735291151388:function:cloudguardian-remediate-s3-public-access;awslambda_function_inside_vpc;False;cloudguardian-remediate-s3-public-access;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;735291151388;ap-south-1;2026-07-13 17:35:21.078358;A.8.20;Network Security;Networks and network devices should be secured, managed and controlled to protect information in systems and applications.;A.8 Technological controls;A.8.20;Network Security;Networks and network devices should be secured, managed and controlled to protect information in systems and applications.;FAIL;Lambda function cloudguardian-remediate-encryption is not inside a VPC;arn:aws:lambda:ap-south-1:735291151388:function:cloudguardian-remediate-encryption;awslambda_function_inside_vpc;False;cloudguardian-remediate-encryption;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;735291151388;ap-south-1;2026-07-13 17:35:21.078358;A.8.21;Security of Network Services;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;A.8 Technological controls;A.8.21;Security of Network Services;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;FAIL;Lambda function cloudguardian-remediate-encryption is not inside a VPC;arn:aws:lambda:ap-south-1:735291151388:function:cloudguardian-remediate-encryption;awslambda_function_inside_vpc;False;cloudguardian-remediate-encryption;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;735291151388;ap-south-1;2026-07-13 17:35:21.078358;A.8.22;Segregation of Networks;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;A.8 Technological controls;A.8.22;Segregation of Networks;Security mechanisms, service levels and service requirements of network services should be identified, implemented and monitored.;FAIL;Lambda function cloudguardian-remediate-encryption is not inside a VPC;arn:aws:lambda:ap-south-1:735291151388:function:cloudguardian-remediate-encryption;awslambda_function_inside_vpc;False;cloudguardian-remediate-encryption;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
