check_id,title,severity,service,region,resource_name,resource_arn,status_detail,description,risk,remediation,tool,cloud_provider,finding_id,account_id,scan_date,cvss_score,exposure_score,blast_radius,priority_score,priority_band,risk_label,ai_risk_level_baseline,ai_confidence_baseline,ai_score,ai_risk_level,ai_confidence
rds_publicly_accessible,RDS Instance Publicly Accessible,critical,rds,,cloudguardian-db,,"db_instance_identifier=cloudguardian-db, publicly_accessible=True, vpc_id=vpc-056acc9b951114346",RDS instance has publicly_accessible=true.,Database gets a public endpoint; reachable directly from the internet.,Set publicly_accessible=false and place the instance in a private subnet.,Steampipe,AWS,FND-0300,735291151388,2026-07-11,9.5,3,4,114.0,P0 - CRITICAL,HIGH,HIGH,0.943,8.96,HIGH,0.969
rds-instance-publicly-accessible,RDS Instance Publicly Accessible,high,rds,,vpc-056acc9b951114346,,rds.regions.ap-south-1.vpcs.vpc-056acc9b951114346.instances.scoutid-832ac82bd104fb2d98c59df699fbac166483817a.PubliclyAccessible,RDS Instance Publicly Accessible,Instances should not be publicly accessible as this risks exposing sensitive data.,,ScoutSuite,AWS,FND-0464,735291151388,2026-07-11,7.5,3,4,90.0,P1 - HIGH,HIGH,HIGH,0.731,5.48,MEDIUM,0.505
iam_inline_policy_allows_privilege_escalation,IAM inline policy does not allow privilege escalation,high,iam,ap-south-1,cloudguardian-web-role/cloudguardian-s3-read-only,arn:aws:iam::735291151388:role/cloudguardian-web-role,"Inline policy cloudguardian-s3-read-only attached to role cloudguardian-web-role allows privilege escalation using the following actions: 'apprunner:CreateService', 'apprunner:UpdateService', 'autoscaling:CreateAutoScalingGroup', 'autoscaling:CreateLaunchConfiguration', 'autoscaling:UpdateAutoScalingGroup', 'bedrock-agentcore:ConnectBrowserAutomationStream', 'bedrock-agentcore:CreateAgentRuntime', 'bedrock-agentcore:CreateAgentRuntimeEndpoint', 'bedrock-agentcore:CreateBrowser', 'bedrock-agentcore:CreateCodeInterpreter', 'bedrock-agentcore:CreateHarness', 'bedrock-agentcore:CreateWorkloadIdentity', 'bedrock-agentcore:GetAgentRuntime', 'bedrock-agentcore:InvokeAgentRuntimeCommand', 'bedrock-agentcore:InvokeCodeInterpreter', 'bedrock-agentcore:StartBrowserSession', 'bedrock-agentcore:StartCodeInterpreterSession', 'cloudformation:CreateChangeSet', 'cloudformation:CreateStack', 'cloudformation:CreateStackInstances', 'cloudformation:CreateStackSet', 'cloudformation:ExecuteChangeSet', 'cloudformation:UpdateStack', 'cloudformation:UpdateStackSet', 'codebuild:CreateProject', 'codebuild:StartBuild', 'codebuild:StartBuildBatch', 'codestar:CreateProject', 'datapipeline:ActivatePipeline', 'datapipeline:CreatePipeline', 'datapipeline:PutPipelineDefinition', 'dynamodb:CreateTable', 'dynamodb:PutItem', 'ec2-instance-connect:SendSSHPublicKey', 'ec2:CreateLaunchTemplateVersion', 'ec2:DescribeInstances', 'ec2:ModifyInstanceAttribute', 'ec2:ModifyLaunchTemplate', 'ec2:RequestSpotInstances', 'ec2:RunInstances', 'ec2:StartInstances', 'ec2:StopInstances', 'ecs:CreateService', 'ecs:DeregisterContainerInstance', 'ecs:DescribeTasks', 'ecs:ExecuteCommand', 'ecs:RegisterContainerInstance', 'ecs:RegisterTaskDefinition', 'ecs:RunTask', 'ecs:StartTask', 'glue:CreateDevEndpoint', 'glue:CreateJob', 'glue:CreateTrigger', 'glue:StartJobRun', 'glue:UpdateDevEndpoint', 'glue:UpdateJob', 'iam:*', 'iam:AddUserToGroup', 'iam:AttachGroupPolicy', 'iam:AttachRolePolicy', 'iam:AttachUserPolicy', 'iam:CreateAccessKey', 'iam:CreateLoginProfile', 'iam:CreatePolicyVersion', 'iam:DeleteAccessKey', 'iam:PassRole', 'iam:Put*', 'iam:PutGroupPolicy', 'iam:PutRolePolicy', 'iam:PutUserPolicy', 'iam:SetDefaultPolicyVersion', 'iam:UpdateAssumeRolePolicy', 'iam:UpdateLoginProfile', 'lambda:AddPermission', 'lambda:CreateEventSourceMapping', 'lambda:CreateFunction', 'lambda:InvokeFunction', 'lambda:UpdateFunctionCode', 'lambda:UpdateFunctionConfiguration', 'sagemaker:CreateNotebookInstance', 'sagemaker:CreateNotebookInstanceLifecycleConfig', 'sagemaker:CreatePresignedNotebookInstanceUrl', 'sagemaker:CreateProcessingJob', 'sagemaker:CreateTrainingJob', 'sagemaker:StartNotebookInstance', 'sagemaker:StopNotebookInstance', 'sagemaker:UpdateNotebookInstance', 'ssm:SendCommand', 'ssm:StartSession', 'sts:AssumeRole'.","**IAM inline policies** are evaluated for permission combinations that enable **privilege escalation**, such as `sts:AssumeRole`, `iam:PassRole`, attaching/editing policies, or broad wildcards. The result highlights inline policies that allow a principal to obtain higher effective access.","Excessive inline policy permissions let identities escalate to admin, compromising CIA:
- Confidentiality: read secrets and data
- Integrity: alter policies, code, and configs
- Availability: delete or stop resources, disable logging
Attackers can persist by creating keys/users or assuming powerful roles.","Apply **least privilege** and remove escalation paths:
- Avoid wildcards and sensitive actions like `sts:AssumeRole`, `iam:PassRole`, or policy modification without tight scope
- Restrict by resource and `Condition`
- Prefer managed, versioned policies; use permissions boundaries/SCPs
- Require reviews and MFA for admins",Prowler v4,AWS,FND-0061,735291151388,2026-07-11,7.5,3,4,90.0,P1 - HIGH,MEDIUM,HIGH,0.716,5.37,MEDIUM,0.516
sql_firewall_allow_all_ips,SQL Server Firewall Allows All IPs,critical,sql,,sql-cloudguardian-lab-6thil,,"firewall_rule=MISCONFIG-AllowAllIPs, range=0.0.0.0-255.255.255.255",A firewall rule opens the SQL server to every IP address on the internet.,The database is directly reachable and attackable from anywhere.,Remove the all-IPs rule; scope firewall rules to specific known IPs/VNets.,Steampipe,Azure,FND-0315,Azure-Subscription,2026-07-04,9.5,3,3,85.5,P1 - HIGH,HIGH,HIGH,0.919,8.73,HIGH,0.954
ec2_instance_port_ssh_exposed_to_internet,EC2 instance does not allow ingress from the Internet to TCP port 22 (SSH),critical,ec2,ap-south-1,i-0c7395c282641f31e,arn:aws:ec2:ap-south-1:735291151388:instance/i-0c7395c282641f31e,Instance i-0c7395c282641f31e has SSH exposed to 0.0.0.0/0 on public IP address 13.207.69.17 in public subnet subnet-014929246c544396c.,"**EC2 instances** with **SSH (TCP 22)** exposed to the Internet via security group inbound rules allowing `0.0.0.0/0` or `::/0`.

Exposure is qualified using the instance's public IP status and subnet reachability.","**Internet-exposed SSH** invites **brute force** and **credential stuffing**. A successful sign-in grants **remote shell**, enabling data exfiltration, tampering of workloads, and **lateral movement** within the VPC, degrading confidentiality, integrity, and availability.","Apply **least privilege** on SSH:
- Restrict ingress to trusted IPs; avoid `0.0.0.0/0` and `::/0`
- Prefer **Session Manager** or a hardened **bastion** behind VPN
- Use **key-based auth**; disable passwords
- Add **defense in depth** with network controls and monitor access logs",Prowler v4,AWS,FND-0040,735291151388,2026-07-11,9.5,3,3,85.5,P1 - HIGH,HIGH,HIGH,0.914,8.68,HIGH,0.946
sqlserver_unrestricted_inbound_access,Azure SQL Server does not have firewall rules allowing 0.0.0.0-255.255.255.255,critical,sqlserver,centralus,sql-cloudguardian-lab-6thil,/subscriptions/7e3283a3-d466-4e6f-95b1-543eec016e08/resourceGroups/rg-cloudguardian-lab/providers/Microsoft.Sql/servers/sql-cloudguardian-lab-6thil,SQL Server sql-cloudguardian-lab-6thil from subscription Azure subscription 1 (7e3283a3-d466-4e6f-95b1-543eec016e08) has firewall rules allowing 0.0.0.0-255.255.255.255.,"**Azure SQL Server** server-level firewall rules are evaluated for an entry that allows the entire IPv4 space (`0.0.0.0` to `255.255.255.255`).

The finding identifies presence of this Internet-wide rule on the server firewall.","An Internet-wide rule permits unsolicited access from any host, enabling mass scanning, brute force, and exploitation of weak configurations.
- Confidentiality: unauthorized data access/exfiltration
- Integrity: malicious data/DDL changes
- Availability: resource abuse or DoS via excessive connections","Remove the all-open rule and enforce **least privilege**.
- Restrict access to specific IPs/ranges
- Prefer **private endpoints** or VNet rules to avoid Internet exposure
- Layer controls (NSGs, Azure Firewall)
- Avoid broad exceptions like `Allow Azure services` and never use `0.0.0.0/0`",Prowler v4,Azure,FND-0260,Azure-Subscription,2026-07-04,9.5,3,3,85.5,P1 - HIGH,HIGH,HIGH,0.916,8.7,HIGH,0.942
sqlserver_unrestricted_inbound_access,Azure SQL Server does not have firewall rules allowing 0.0.0.0-255.255.255.255,critical,sqlserver,centralus,sql-cloudguardian-lab-ocdhx,/subscriptions/7e3283a3-d466-4e6f-95b1-543eec016e08/resourceGroups/rg-cloudguardian-lab/providers/Microsoft.Sql/servers/sql-cloudguardian-lab-ocdhx,SQL Server sql-cloudguardian-lab-ocdhx from subscription Azure subscription 1 (7e3283a3-d466-4e6f-95b1-543eec016e08) has firewall rules allowing 0.0.0.0-255.255.255.255.,"**Azure SQL Server** server-level firewall rules are evaluated for an entry that allows the entire IPv4 space (`0.0.0.0` to `255.255.255.255`).

The finding identifies presence of this Internet-wide rule on the server firewall.","An Internet-wide rule permits unsolicited access from any host, enabling mass scanning, brute force, and exploitation of weak configurations.
- Confidentiality: unauthorized data access/exfiltration
- Integrity: malicious data/DDL changes
- Availability: resource abuse or DoS via excessive connections","Remove the all-open rule and enforce **least privilege**.
- Restrict access to specific IPs/ranges
- Prefer **private endpoints** or VNet rules to avoid Internet exposure
- Layer controls (NSGs, Azure Firewall)
- Avoid broad exceptions like `Allow Azure services` and never use `0.0.0.0/0`",Prowler v4,Azure,FND-0178,Azure-Subscription,2026-07-04,9.5,3,3,85.5,P1 - HIGH,HIGH,HIGH,0.919,8.73,HIGH,0.954
sg_mysql_open_to_internet,Security Group Allows MySQL (3306) from 0.0.0.0/0,critical,ec2,,cloudguardian-rds-sg,,"group_name=cloudguardian-rds-sg, group_id=sg-0be0be5f1a7d28519, from_port=3306, to_port=3306, ip_ranges=[{""CidrIp"":""0.0.0.0/0"",""Description"":null}]",Security group permits inbound MySQL from any IP address on the internet.,Database port is directly reachable and attackable from the internet.,Remove the 0.0.0.0/0 rule; restrict 3306 to the application security group only.,Steampipe,AWS,FND-0299,735291151388,2026-07-11,9.5,3,3,85.5,P1 - HIGH,HIGH,HIGH,0.914,8.68,HIGH,0.946
rds_instance_no_public_access,RDS instance is not publicly exposed to the Internet,critical,rds,ap-south-1,cloudguardian-db,arn:aws:rds:ap-south-1:735291151388:db:cloudguardian-db,RDS Instance cloudguardian-db is set as publicly accessible and security group cloudguardian-rds-sg (sg-0be0be5f1a7d28519) has mysql port 3306 open to the Internet at endpoint cloudguardian-db.cxuyey2k27jg.ap-south-1.rds.amazonaws.com in a public subnet subnet-06415df4407c53071.,"**RDS DB instances** are assessed for **internet exposure** using the `PubliclyAccessible` setting, security group ingress to the DB port from any address, and whether subnets are **public**. Instances that combine an internet-facing endpoint, open ingress, and public subnets are identified.","An internet-reachable database invites:
- Brute-force and vulnerability probing, risking **availability** and **integrity**
- Unauthorized queries and dumps leading to **confidentiality** loss

Compromise can enable **lateral movement** and persistence within the VPC.","Keep databases private by applying **least privilege** at the network layer:
- Set `PubliclyAccessible` to `false`
- Place instances in private subnets
- Deny `0.0.0.0/0` and `::/0` on the DB port
- Expose access via private endpoints, VPN, or an application tier/DB proxy

Adopt **defense in depth** with monitoring and strong auth.",Prowler v4,AWS,FND-0097,735291151388,2026-07-11,9.5,3,3,85.5,P1 - HIGH,HIGH,HIGH,0.917,8.71,HIGH,0.949
ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_mysql_3306,Security group does not allow ingress from 0.0.0.0/0 or ::/0 to MySQL port 3306,high,ec2,ap-south-1,sg-0be0be5f1a7d28519,arn:aws:ec2:ap-south-1:735291151388:security-group/sg-0be0be5f1a7d28519,Security group cloudguardian-rds-sg (sg-0be0be5f1a7d28519) has MySQL port 3306 open to the Internet.,"**EC2 security groups** are assessed for **inbound exposure** of **MySQL** on `TCP 3306` from `0.0.0.0/0` or `::/0`.

The finding reflects whether this port is reachable from any IPv4 or IPv6 address.","**Public MySQL** access lets anyone reach the service, enabling credential brute force and vulnerability exploitation. This threatens:
- **Confidentiality**: data exfiltration
- **Integrity**: unauthorized writes or schema changes
- **Availability**: DoS from abuse or scans","Apply **least privilege**: restrict `3306` to specific sources or peer security groups only. Keep databases in private subnets and use **VPN**, **bastion**, or application proxies for admin access. Enable **defense in depth** with TLS and strong auth. Never allow `0.0.0.0/0` or `::/0` ingress.",Prowler v4,AWS,FND-0052,735291151388,2026-07-11,7.5,3,3,67.5,P1 - HIGH,MEDIUM,HIGH,0.708,5.31,MEDIUM,0.518
